BookId,Title,CoverLink,Author,RatingCount,Rating,PublishedDate,Publisher,Genre,ISBN
630104,Inner Circle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389046834l/630104.jpg,"Kate Brian, Julian Peploe",7597,4.03,January 1st 2007,Simon  Schuster Books for Young Readers,Young Adult,9781416950417
9487,A Time to Embrace,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433586236l/9487._SY475_.jpg,Karen Kingsbury,4179,4.35,October 29th 2006,Thomas Nelson,Christian Fiction,9781595542328
39030,Reliquary,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386922100l/39030.jpg,"Douglas Preston, Lincoln Child",38382,4.01,1997,Tor Books,Thriller,9780765354952
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348313018l/998.jpg,"Thomas J. Stanley, William D. Danko",72168,4.04,October 28th 1995,Gallery Books,Economics-Finance,9780671015206
311164,Black Sheep,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320483878l/311164.jpg,Georgette Heyer,9538,4.05,March 1st 1966,Arrow,Romance,9780099468035
32105,Sylvester,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360785384l/32105.jpg,"Georgette Heyer, Joan Wolf",13473,4.11,1957,Harlequin,Romance,9780373836086
377993,Joe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404580690l/377993.jpg,Larry Brown,2722,4.18,1980,Algonquin Books,Fiction,9781565124134
71292,Asterix the Gaul,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433174923l/71292._SX318_.jpg,"RenÃ© Goscinny, Albert Uderzo, Anthea Bell, Derek Hockridge",23324,4.17,July 14th 1960,"Orion Books Ltd., London",Sequential Art-Comics,9780752866055
821003,When We Were Very Young,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348198334l/821003.jpg,"A.A. Milne, Ernest H. Shepard",21973,4.3,November 1924,E.P. Dutton,Poetry,9780525444459
24876258,The Aeronaut's Windlass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425415066l/24876258.jpg,Jim Butcher,35875,4.17,September 29th 2015,Roc,Fantasy,9780451466808
80631,Blood Memory,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327877256l/80631.jpg,Greg Iles,14948,4.13,2005,Pocket Star,Mystery,9780743454155
81048,Spilling Open: The Art of Becoming Yourself,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921428l/81048.jpg,Sabrina Ward Harrison,4844,4.03,August 15th 2000,Villard Books,Art,9780375756481
7640261,Sex at Dawn: The Prehistoric Origins of Modern Sexuality,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1291105594l/7640261.jpg,"Christopher  Ryan, Cacilda JethÃ¡",22390,4.01,June 29th 2010,HarperCollins,Nonfiction,9780061707803
22028,Omerta,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867034l/22028.jpg,Mario Puzo,14086,3.71,1999,Ballantine Books,Fiction,9780345432407
176892,The Elvenbane,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562450703l/176892.jpg,"Andre Norton, Mercedes Lackey",14329,3.95,November 1st 1991,Tor Books,Fantasy,9780812511758
138811,Moscow 1812: Napoleon's Fatal March,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407709974l/138811.jpg,Adam Zamoyski,1760,4.3,August 3rd 2004,Harper Perennial,History,9780061086861
15990489,A Week in Winter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346827587l/15990489.jpg,Maeve Binchy,42423,3.83,October 11th 2012,Orion,Fiction,9781409113997
15743075,Seven Years to Sin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355259011l/15743075.jpg,Sylvia Day,18198,3.88,2011,Kensington Trade,Romance,9780758290410
13549445,"All My Love, Detrick",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339289657l/13549445.jpg,Roberta Kagan,3400,4.04,February 4th 2012,self,Historical-Historical Fiction,9781470143244
550844,Cycle of the Werewolf,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565642120l/550844.jpg,"Stephen King, Bernie Wrightson",46739,3.65,November 1983,Signet Books,Horror,9780451822192
165782,Second Nature,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437728139l/165782._SY475_.jpg,Alice Hoffman,5324,3.81,1994,Berkley,Fiction,9780425161630
23346719,Disclaimer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417259186l/23346719.jpg,RenÃ©e Knight,23392,3.59,2015,Doubleday,Fiction,9780857522818
274400,Justice Hall,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361088654l/274400.jpg,Laurie R. King,12589,4.21,2002,HarperCollins,Mystery,9780007111381
1977834,Dans le cafÃ© de la jeunesse perdue,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462053670l/1977834._SX318_.jpg,Patrick Modiano,7295,3.51,2007,Gallimard,Fiction,9782070786060
228345,The Orchid Thief: A True Story of Beauty and Obsession,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328347217l/228345.jpg,Susan Orlean,14344,3.69,1998,Ballantine Books,Nonfiction,9780449003718
7831145,Play of Passion,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1272490500l/7831145.jpg,Nalini Singh,23975,4.27,November 2nd 2010,Berkley Books,Romance-Paranormal Romance,9780425237793
58893,Briar's Book,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481568171l/58893.jpg,Tamora Pierce,28023,4.17,April 1st 1999,Scholastic Paperbacks,Fantasy,9780590554114
153783,The Will of the Empress,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390187660l/153783.jpg,Tamora Pierce,19935,4.18,October 1st 2005,Scholastic Inc,Fantasy,9780439441728
870461,Just Beyond the Clouds,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439638653l/870461._SY475_.jpg,Karen Kingsbury,5131,4.3,January 1st 2007,Center Street,Christian Fiction,9781599956770
286136,Leven Thumps and the Whispered Secret,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414559915l/286136.jpg,Obert Skye,14619,3.91,September 27th 2006,Shadow Mountain,Fiction,9781590384909
6419887,The Boy Who Harnessed the Wind: Creating Currents of Electricity and Hope,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347318102l/6419887.jpg,"William Kamkwamba, Bryan Mealer",20578,4.11,September 29th 2009,William Morrow,Nonfiction,9780061730320
228244,"This Way for the Gas, Ladies and Gentlemen",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361813564l/228244.jpg,"Tadeusz Borowski, Barbara Vedder, Jan Kott, Michael Kandel",5931,4.17,1947,Penguin Classics,World War II-Holocaust,9780140186246
3004139,The Little Book,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433271326l/3004139._SY475_.jpg,Selden Edwards,4522,3.73,2008,Dutton Adult,Fiction,9780525950615
93729,Princess in Waiting,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493531966l/93729.jpg,Meg Cabot,41316,3.67,September 6th 2002,HarperTrophy,Young Adult,9780060096090
71869,Burning For Revenge,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388214820l/71869.jpg,John Marsden,14703,4.19,1997,Scholastic Paperbacks,Young Adult,9780439858038
900682,An Inspector Calls,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1179294675l/900682._SY475_.jpg,J.B. Priestley,16954,3.79,1945,Reclam,Plays,9783150092187
7519640,War,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344271278l/7519640.jpg,Sebastian Junger,19347,4.23,2010,Twelve,Nonfiction,9780446556248
124923,The Moneychangers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309287236l/124923.jpg,Arthur Hailey,4014,3.88,February 1975,Berkley,Fiction,9780425182178
2214574,Lavinia,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328834317l/2214574.jpg,Ursula K. Le Guin,8495,3.79,April 1st 2008,"Harcourt, Inc.",Historical-Historical Fiction,9780151014248
4842437,Der Seelenbrecher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562055319l/4842437._SY475_.jpg,Sebastian Fitzek,7010,4.1,2008,Droemer/Knaur,Thriller,9783426637920
7163862,Zoo City,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1303632588l/7163862.jpg,Lauren Beukes,10007,3.64,April 29th 2010,Angry Robot,Fantasy,9780007327683
8662135,So Silver Bright,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437109817l/8662135._SY475_.jpg,Lisa Mantchev,2270,4.03,September 13th 2011,Feiwel & Friends,Fantasy,9780312380984
97860,Tuesday,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328870556l/97860.jpg,David Wiesner,24432,4.18,April 22nd 1991,Clarion Books,Childrens-Picture Books,9780395870822
